0
VI  1.41  O8S_CDW_total_E  XS  11.93  E1  11.38  E1/XS  0.9533  Ne  1.12
VI  2.00  O8S_CDW_total_E  XS  82.63  E1  120.6  E1/XS  1.459  Ne  23.3
VI  2.83  O8S_CDW_total_E  XS  157  E1  260.2  E1/XS  1.657  Ne  94
VI  3.46  O8S_CDW_total_E  XS  176.1  E1  285.6  E1/XS  1.622  Ne  145
VI  4.00  O8S_CDW_total_E  XS  177.8  E1  285.2  E1/XS  1.604  Ne  185
VI  4.47  O8S_CDW_total_E  XS  173.1  E1  279.3  E1/XS  1.613  Ne  219
VI  5.29  O8S_CDW_total_E  XS  158.7  E1  268.8  E1/XS  1.694  Ne  283
VI  6.32  O8S_CDW_total_E  XS  137.4  E1  254.9  E1/XS  1.856  Ne  364
VI  8.94  O8S_CDW_total_E  XS  92.53  E1  207.5  E1/XS  2.243  Ne  522
0
VI  1.00  PS_Brn_total_E1  XS  32.68  E1  11.08  E1/XS  0.339  Ne  0.748
VI  1.41  PS_Brn_total_E1  XS  28.08  E1  13.87  E1/XS  0.494  Ne  1.59
VI  2.00  PS_Brn_total_E1  XS  19.25  E1  13.22  E1/XS  0.6869  Ne  2.68
VI  2.83  PS_Brn_total_E1  XS  11.72  E1  10.69  E1/XS  0.9116  Ne  3.99
VI  3.46  PS_Brn_total_E1  XS  8.553  E1  9.095  E1/XS  1.063  Ne  4.83
VI  4.00  PS_Brn_total_E1  XS  6.8  E1  8.078  E1/XS  1.188  Ne  5.51
VI  4.47  PS_Brn_total_E1  XS  5.677  E1  7.32  E1/XS  1.289  Ne  5.97
VI  5.29  PS_Brn_total_E1  XS  4.31  E1  6.318  E1/XS  1.466  Ne  6.88
VI  6.32  PS_Brn_total_E1  XS  3.201  E1  5.313  E1/XS  1.659  Ne  7.7
VI  8.94  PS_Brn_total_E1  XS  1.775  E1  3.596  E1/XS  2.026  Ne  8.9
