0.1 -14.4105   
0.9 -14.4105   
0.1 -14.3635   
0.9 -14.3635   
0.1 -14.3433   
0.9 -14.3433   
0.1 -14.3222   
0.9 -14.3222   
0.1 -14.3187
0.9 -14.3187
0.1 -10.2850   
0.9 -10.2850   
0.1 -10.2747   
0.9 -10.2747   
0.1 -10.2732   
0.9 -10.2732   
0.1 -10.2504   
0.9 -10.2504   
0.1 -10.2316
0.9 -10.2316
0.1 -0.9784    
0.9 -0.9784    
0.1 -0.9568    
0.9 -0.9568    
0.1 -0.9175    
0.9 -0.9175    
0.1 -0.8536    
0.9 -0.8536    
0.1 -0.8397
0.9 -0.8397
0.1 -0.7249    
0.9 -0.7249    
0.1 -0.6494    
0.9 -0.6494    
0.1 -0.6348    
0.9 -0.6348    
0.1 -0.6008    
0.9 -0.6008    
0.1 -0.5705
0.9 -0.5705
0.1 -0.5450    
0.9 -0.5450    
0.1 -0.5056    
0.9 -0.5056    
0.1 -0.4846    
0.9 -0.4846    
0.1 -0.4415    
0.9 -0.4415    
0.1 -0.4258
0.9 -0.4258
0.1 -0.4241    
0.9 -0.4241    
0.1 -0.4159    
0.9 -0.4159    
0.1 -0.3863    
0.9 -0.3863    
0.1 -0.3409    
0.9 -0.3409    
0.1 -0.3021
0.9 -0.3021
0.1 -0.2825    
0.9 -0.2825    
0.1 -0.2639    
0.9 -0.2639    
0.1 -0.2535    
0.9 -0.2535    
0.1 -0.2252    
0.9 -0.2252    
0.1 -0.1981
0.9 -0.1981
0.1 -0.0349    
0.9 -0.0349    
0.1 -0.0020
0.9 -0.0020
