E(ev) CS    Ep(kev)
300	7.9	551.26792
400	6.57	735.02389
500	5.64	918.77986
750	4.18	1378.16979
1000	3.39	1837.55972
1500	2.49	2756.33958
2000	1.99	3675.11944
3000	1.46	5512.67916
4000	1.16	7350.23888
5000	0.978	9187.7986
