493.321	9.96764	906.5068	906.5068
478.901	10.2343	880.00919	--
460.281	10.4348	845.79383	845.79383
446.808	10.635	821.03638	--
400.709	11.4355	736.32672	736.32672
429.473	10.9684	789.18229	--
412.775	11.1689	758.49871	758.49871
392.884	11.7019	721.94781	--
377.593	11.8359	693.84969	693.84969
370.203	12.0358	680.27012	--
359.367	12.236	660.35832	660.35832
345.395	12.4365	634.68394	--
341.991	12.5032	628.42889	628.42889
328.708	12.7702	604.02058	--
325.497	12.9698	598.12018	598.12018
315.969	13.17	580.61191	--
309.759	13.237	569.20066	569.20066
300.679	13.3708	552.51562	--
297.741	13.5704	547.11687	547.11687
289.013	13.7042	531.07865	--
283.37	13.9705	520.7093	520.7093
275.075	14.1707	505.46674	505.46674
269.691	14.3707	495.57332	495.57332
259.217	14.6376	476.32672	476.32672
254.144	14.8375	467.00478	467.00478
244.263	15.038	448.84785	448.84785
237.113	15.2382	435.7093	435.7093
232.473	15.4381	427.18302	427.18302
223.425	15.5722	410.55678	410.55678
219.024	15.5727	402.46968	402.46968
208.461	16.0393	383.05954	383.05954
198.39	16.373	364.55347	364.55347
