# He2 in CH4 -- Rudd 1985
# Units 
# Energy: MeV/u
# Cross section: 10^(-16) cm2
E	H2	N2	CO	O2	CO2
0.04308	1.63228	0.87055	0.92496	0.81614	0.87055
0.05743	1.61052	0.87055	0.92496	0.87055	0.87055
0.08615	1.39288	0.81614	0.81614	0.81614	0.798
0.11487	1.15348	0.76173	0.76173	0.76173	0.76173
0.1723	0.89231	0.65291	0.5985	0.65291	0.65291

