# Li3+ in H2O -- Luna 2016
# Units 
# Energy: MeV/u
# Cross section: 10^(-16) cm2
E	TCS
0.10805	6.075
0.14407	11.55
0.21611	10.94
0.28814	10.96
0.43221	11.2
0.57629	10.783
0.72036	11.036
0.83561	8.494

