Ep(keV)     Ee(ev)    e+THF e+PY
551.26792	300	7.99	7.48
735.02389	400	6.63	6.27
918.77986	500	5.69	5.41
1102.53583	600	4.99	4.76
1286.2918	700	4.45	4.26
1470.04778	800	4.03	387
1653.80375	900	3.68	3.54
1837.55972	1000	3.39	3.27
