# H1 in CH4 -- Luna 2019
# Units 
# Energy: MeV/u
# Cross section: 10^(-16) cm2
E	TCS	
0.15	6.7962
0.25	5.1566
0.35	3.23
0.426	3.8234
0.5	3.16946
0.75	2.45782
1	1.83866
1.5	1.33188
2.5	0.8951
2.7	0.82278

