# H+ in H2O -- Rudd 1985
# Units 
# Energy: MeV/u
# Cross section: 10^(-16) cm2
E	TCS
0.007	1.94
0.01	2.48
0.015	3.22
0.02	3.79
0.03	4.59
0.05	5.32
0.07	5.45
0.1	5.23
0.15	4.61
0.2	4.04
0.3	3.2
0.5	2.26
0.7	1.77
1	1.34
1.5	0.969
2	0.766
3	0.547
5	0.355
